year,player_id,overall_rating,attacking_work_rate,defensive_work_rate,crossing,ball_control,dribbling
2015,505942,67.0,medium,medium,49.0,49.0,51.0
2015,155782,73.0,high,medium,79.0,70.0,71.0
2014,155782,71.0,medium,medium,78.0,67.0,66.0
2013,155782,70.0,medium,medium,77.0,67.0,66.0
2012,155782,68.0,medium,medium,77.0,64.0,64.0
2015,162549,66.0,medium,medium,64.0,67.0,66.0
2014,162549,67.0,medium,medium,65.0,67.0,66.0
2013,162549,70.0,medium,medium,72.0,71.0,72.0
2012,162549,65.0,medium,medium,63.0,67.0,67.0
2015,30572,69.0,medium,medium,57.0,62.0,56.0
2014,30572,67.0,medium,medium,56.0,61.0,55.0
2013,30572,67.0,medium,medium,57.0,62.0,56.0
2012,30572,70.0,medium,medium,57.0,62.0,56.0
2015,23780,70.0,medium,medium,46.0,58.0,47.0
2014,23780,72.0,medium,medium,45.0,57.0,46.0
2013,23780,73.0,medium,medium,45.0,57.0,46.0
2012,23780,74.0,medium,medium,45.0,62.0,53.0
2015,27316,77.0,medium,medium,77.0,79.0,78.0
2014,27316,78.0,medium,medium,77.0,78.0,78.0
2013,27316,79.0,medium,medium,77.0,78.0,80.0
2012,27316,75.0,medium,medium,75.0,76.0,79.0
2015,564793,61.0,medium,high,48.0,63.0,54.0
2014,564793,60.0,medium,high,47.0,62.0,53.0
2015,30895,77.0,high,medium,78.0,81.0,84.0
2014,30895,79.0,high,medium,79.0,80.0,83.0
2013,30895,79.0,high,medium,80.0,82.0,83.0
2012,30895,80.0,high,medium,79.0,84.0,82.0
2014,528212,48.0,medium,medium,12.0,22.0,15.0
2015,101042,69.0,medium,medium,63.0,74.0,70.0
2014,101042,67.0,medium,medium,62.0,73.0,69.0
2013,101042,67.0,medium,medium,65.0,73.0,69.0
2012,101042,68.0,medium,high,64.0,70.0,71.0
2012,23889,68.0,medium,high,26.0,64.0,64.0
2015,231592,73.0,medium,medium,74.0,73.0,73.0
2014,231592,65.0,medium,medium,64.0,70.0,66.0
2013,231592,65.0,medium,medium,64.0,70.0,69.0
2012,231592,63.0,medium,low,64.0,65.0,63.0
2014,163222,62.0,medium,high,48.0,48.0,46.0
2013,163222,63.0,medium,high,48.0,48.0,46.0
2015,40719,71.0,medium,medium,64.0,77.0,76.0
2014,40719,70.0,medium,medium,63.0,76.0,75.0
2013,40719,66.0,high,low,62.0,75.0,74.0
2012,40719,64.0,high,medium,62.0,68.0,67.0
2015,75489,82.0,high,high,74.0,82.0,81.0
2014,75489,82.0,high,high,74.0,82.0,81.0
2013,75489,81.0,high,high,74.0,82.0,81.0
2012,75489,77.0,medium,high,74.0,79.0,79.0
2015,597948,55.0,medium,medium,55.0,52.0,53.0
2014,597948,55.0,medium,medium,54.0,51.0,52.0
2015,161644,65.0,high,medium,62.0,62.0,66.0
2014,161644,61.0,high,medium,61.0,61.0,65.0
2013,161644,62.0,high,medium,56.0,60.0,61.0
2015,23499,65.0,high,medium,49.0,65.0,49.0
2014,23499,65.0,medium,medium,48.0,71.0,48.0
2013,23499,63.0,medium,medium,48.0,68.0,48.0
2012,23499,62.0,medium,medium,48.0,61.0,48.0
2015,120919,77.0,high,medium,70.0,78.0,81.0
2014,120919,75.0,medium,medium,69.0,75.0,82.0
2015,167027,75.0,medium,medium,78.0,78.0,78.0
2014,167027,74.0,medium,medium,72.0,78.0,77.0
2013,167027,74.0,medium,medium,72.0,78.0,77.0
2012,167027,75.0,medium,medium,72.0,78.0,77.0
2015,128456,73.0,medium,medium,65.0,63.0,51.0
2014,128456,71.0,medium,medium,64.0,66.0,50.0
2013,128456,72.0,medium,high,64.0,66.0,50.0
2012,128456,72.0,medium,medium,61.0,58.0,41.0
2015,42664,67.0,medium,medium,65.0,71.0,70.0
2014,42664,67.0,medium,medium,65.0,71.0,70.0
2013,42664,68.0,medium,low,65.0,71.0,70.0
2012,42664,72.0,medium,medium,65.0,78.0,75.0
2014,425950,59.0,medium,medium,49.0,64.0,73.0
2013,425950,59.0,medium,medium,49.0,64.0,73.0
2015,467485,63.0,medium,medium,42.0,67.0,72.0
2014,306735,56.0,high,medium,54.0,58.0,56.0
2013,306735,55.0,medium,medium,54.0,54.0,51.0
2012,306735,53.0,medium,medium,52.0,47.0,51.0
2015,41659,63.0,medium,medium,57.0,64.0,59.0
2013,41659,63.0,medium,medium,57.0,64.0,59.0
2012,41659,69.0,medium,medium,66.0,73.0,67.0
2015,563215,64.0,medium,medium,42.0,50.0,47.0
2014,563215,62.0,medium,medium,41.0,49.0,46.0
2015,41093,70.0,medium,medium,62.0,75.0,75.0
2014,41093,70.0,medium,medium,61.0,77.0,76.0
2013,41093,68.0,medium,medium,61.0,76.0,74.0
2012,41093,69.0,medium,high,61.0,76.0,74.0
2015,564712,64.0,medium,medium,35.0,52.0,36.0
2014,564712,63.0,medium,medium,34.0,51.0,35.0
2015,67334,72.0,medium,medium,67.0,73.0,74.0
2014,67334,67.0,medium,medium,66.0,70.0,69.0
2013,67334,63.0,medium,medium,63.0,67.0,62.0
2012,67334,63.0,medium,medium,63.0,67.0,62.0
2015,173955,70.0,high,medium,69.0,72.0,75.0
2014,173955,69.0,medium,medium,67.0,70.0,71.0
2013,173955,69.0,medium,medium,67.0,70.0,71.0
2012,173955,69.0,medium,medium,67.0,70.0,71.0
2015,39562,75.0,medium,medium,75.0,77.0,79.0
2014,39562,75.0,medium,medium,76.0,76.0,78.0
2013,39562,78.0,medium,medium,82.0,78.0,80.0
2012,39562,78.0,medium,medium,80.0,80.0,78.0
2015,191784,73.0,low,medium,35.0,53.0,35.0
2014,191784,71.0,medium,medium,34.0,52.0,34.0
2013,191784,68.0,medium,medium,34.0,51.0,34.0
2012,191784,69.0,medium,medium,34.0,51.0,34.0
2015,210400,69.0,medium,medium,67.0,63.0,52.0
2014,210400,66.0,medium,medium,66.0,62.0,51.0
2013,210400,66.0,medium,medium,66.0,62.0,51.0
2012,210400,65.0,medium,medium,66.0,62.0,51.0
2015,201915,72.0,high,medium,67.0,63.0,68.0
2014,201915,69.0,medium,medium,65.0,63.0,66.0
2013,201915,66.0,medium,medium,65.0,63.0,65.0
2012,201915,66.0,medium,medium,65.0,63.0,65.0
2015,194479,72.0,None,5,64.0,75.0,76.0
2014,194479,71.0,None,5,60.0,74.0,75.0
2013,194479,72.0,None,5,60.0,74.0,75.0
2012,194479,74.0,None,5,58.0,81.0,76.0
2015,189181,69.0,medium,medium,12.0,17.0,15.0
2014,189181,66.0,medium,medium,25.0,28.0,25.0
2013,189181,66.0,medium,medium,25.0,28.0,25.0
2015,352887,73.0,high,medium,68.0,75.0,75.0
2014,352887,70.0,high,medium,48.0,73.0,71.0
